auction_date,auction_city,auction_region,auction_item,starting_price,target_price,item_ts
30.12.2025,Elzanowo,kujawsko-pomorskie,"REGAŁ PALETOWY, 2022",5625.0,7500.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,"GWINCIARKA RAMIĘ GWINTUJĄCE, 2022",4875.0,6500.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,NOŻYCE GILOTYNOWE 3500MM DO BLACHY,13500.0,18000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,WALEC 1300KG STEROWANY ZDALNIE,9750.0,13000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,NAGRZEWNICA OLEJOWA,5250.0,7000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,RUSZTOWANIE ALUMINIOWE ALTREX,3000.0,4000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,PRZYCZEPA KEMPINGOWA,3000.0,4000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,CENTRALA WENTYLACJI LENOX BALTIC,11250.0,15000.0,2025-12-22 22:04:43
30.12.2025,Elzanowo,kujawsko-pomorskie,ELEKTRONARZĘDZIA MILWAUKEE,18000.0,24000.0,2025-12-22 22:04:43
30.12.2025,Chełm,lubelskie,Volvo FL z przyczepą  - rok 2011 12 ton,75645.0,100860.0,2025-12-22 22:04:44
30.12.2025,Chełm,lubelskie,"Fiat Ducato - do 3,5 tony, 3.0 disel, rok 2015",55350.0,73800.0,2025-12-22 22:04:44
02.01.2026,Wronczyn,wielkopolskie,"AUDI S6 AVANT, nr rej. PZ220VL VIN WAUZZZ4FX7N091062 rok produkcji 2006 data nast. bad. 25-06-2023 00:00:00",8000.0,16000.0,2025-12-22 22:04:45
07.01.2026,Toruń,kujawsko-pomorskie,Honda Accord Kombi,7125.0,9500.0,2025-12-22 22:04:46
07.01.2026,Wrocław,dolnośląskie,Samochody osobowe,6150.0,12300.0,2025-12-22 22:04:47
07.01.2026,Warszawa,mazowieckie,Samochody osobowe,18675.0,24900.0,2025-12-22 22:04:47
07.01.2026,"Wiązowna, Majdan",mazowieckie,BMW MINI,4000.0,8000.0,2025-12-22 22:04:48
08.01.2026,Mosina,wielkopolskie,Samochody osobowe,14250.0,19000.0,2025-12-22 22:04:49
08.01.2026,Pieszków,dolnośląskie,"TOYOTA AVENSIS    nr rej. DLU61126, VIN SB1ED56L60E051762, rok produkcji 2007, uszkodzony, brak dow. rej.,  brak kluczyków .",3000.0,4000.0,2025-12-22 22:04:51
08.01.2026,Ciecierzyce,lubuskie,"HONDA ACCORD, Dokument pojazdu: BAP4317230 Rok produkcji: 2003 Rejestracja: FKR611AU Silnik: poj: 2354 cm3, moc: 140 KW, rodz. paliwa: BENZYNA VIN: JHMCM27703C202481 Rodzaj: SAMOCHÓD OSOBOWY Marka: HONDA Model: ACCORD Data ważności OC: 2025-11-28 Data pierwsz. rejestracji: 2003-12-22",6750.0,9000.0,2025-12-22 22:04:52
08.01.2026,Czarnoborsko,dolnośląskie,SKODA OCTAVIA 1.9 TDI nr rej. DGL34798  VIN TMBHG41U832787795,1500.0,2000.0,2025-12-22 22:04:53
09.01.2026,GRODKÓW,opolskie,Samochody osobowe,7500.0,10000.0,2025-12-22 22:04:57
09.01.2026,Wieluń,łódzkie,MITSUBISHI ASX,15000.0,20000.0,2025-12-22 22:04:58
09.01.2026,WARSZAWA,mazowieckie,SKODA CITIGO,13125.0,17500.0,2025-12-22 22:04:58
12.01.2026,Zawiercie,śląskie,AUDI Q7  nr rej. SBE59394 VIN WAUZZZ4L97D008779 rok produkcji 2006,30000.0,40000.0,2025-12-22 22:04:59
12.01.2026,Zawiercie,śląskie,KIA SPORTAGE SL nr rej. SBE1436G VIN U5YPC813DCL174179 rok produkcji 2012,15000.0,20000.0,2025-12-22 22:04:59
12.01.2026,Lniano,kujawsko-pomorskie,"KIA SORENTO, nr rej. CSWHX21, KNEJC521545301346, rok prod. 2004",6000.0,8000.0,2025-12-22 22:05:00
12.01.2026,Kluczbork,opolskie,OPEL ASTRA 1.4 KAT,5000.0,10000.0,2025-12-22 22:05:00
13.01.2026,Rybnik,śląskie,"SKODA OCTAVIA, 2007r. VIN:TMBBS61Z982039902",6500.0,13000.0,2025-12-22 22:05:01
13.01.2026,Piła,wielkopolskie,MITSUBISHI COLT,4875.0,6500.0,2025-12-22 22:05:03
13.01.2026,Rogoźno,wielkopolskie,KIA CERATO,2250.0,3000.0,2025-12-22 22:05:03
13.01.2026,Kraków,małopolskie,"PEUGEOT 508, r. prod: 2015, nr rej. KRA778CC, VIN: VF38DRHH8FL019849, I rej. 12.05.2015",18000.0,24000.0,2025-12-22 22:05:04
13.01.2026,Poznań,wielkopolskie,"samochód osobowy OPEL VECTRA, nr rej. PO7172S, VIN W0L0JBF1911021326, rok produkcji 2000",1000.0,2000.0,2025-12-22 22:05:05
13.01.2026,Poznań,wielkopolskie,"samochód osobowy PEUGEOT 4007, nr rej. PO5S916, VIN VF3VV4HNHAZ806222, rok produkcji 2010",8800.0,17600.0,2025-12-22 22:05:05
13.01.2026,Wasilków,podlaskie,CITROEN C3  nr rej. BIA1490A VIN VF7SCBHW6GW582615 rok produkcji 2016 data I rejestracji 2016-07-08,14250.0,19000.0,2025-12-22 22:05:06
13.01.2026,Niepruszewo,wielkopolskie,"FIAT TALENTO, nr rej. PO3NF60, VIN ZFAFJL000K5113663, rok produkcji 2019",40725.0,54300.0,2025-12-22 22:05:06
13.01.2026,Pólko,wielkopolskie,"Renault Trafic, 2.0 diesel, nr rej. PO4H96 , kolor czarny, rok produkcji 2008",13500.0,18000.0,2025-12-22 22:05:07
14.01.2026,Poznań,wielkopolskie,"samochód osobowy: NISSAN MICRA, nr rej.: PZ212VA, nr VIN: SJNEAAK11U3251689, rok prod. 2000, poj. 998, kolor czarny",1125.0,1500.0,2025-12-22 22:05:08
14.01.2026,Nisko,podkarpackie,"Samochód osobowy  BMW 520 D , rok prod. 2008, nr rej: SRC22N5, VIN: WBANX31050CW77848",17250.0,23000.0,2025-12-22 22:05:08
14.01.2026,Gdańsk,pomorskie,HONDA CIVIC 5DR Executive,15825.0,21100.0,2025-12-22 22:05:09
14.01.2026,Słupsk,pomorskie,Samochody osobowe,3750.0,5000.0,2025-12-22 22:05:10
14.01.2026,Leszno,wielkopolskie,"samochód osobowy Peugeot 508 SW, nr rej. PL1669H, VIN VF38E5FV8DL038355, rok produkcji 2013",18750.0,25000.0,2025-12-22 22:05:12
